exchange,symbol,price,timestamp,bid,ask,volume
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:55.018615+00:00,109916.96,109916.97,1679.32837553
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:55.018615+00:00,109916.96,109916.97,1679.32925765
Binance,BTC-USD,110163.08,2025-11-01 22:05:55.049000+00:00,109858.1,110162.96,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:55.224198+00:00,109916.96,109916.97,1679.32970799
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:55.638323+00:00,109916.96,109916.97,1679.3297401
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:55.906405+00:00,109916.96,109916.97,1679.33018215
Binance,BTC-USD,110163.08,2025-11-01 22:05:56.075000+00:00,109858.1,110162.91,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:56.856588+00:00,109916.96,109916.97,1679.33108283
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:56.994332+00:00,109916.96,109916.97,1679.33152488
Coinbase,BTC-USD,109916.96,2025-11-01 22:05:56.995461+00:00,109916.96,109916.97,1679.33154225
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:57.005048+00:00,109916.96,109916.97,1679.3319843
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:57.136789+00:00,109916.96,109916.97,1679.33209254
Binance,BTC-USD,110163.08,2025-11-01 22:05:56.775000+00:00,109858.1,110162.89,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:57.356899+00:00,109916.96,109916.97,1679.33210928
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:57.385825+00:00,109916.96,109916.97,1679.3322593
Coinbase,BTC-USD,109916.96,2025-11-01 22:05:57.519495+00:00,109916.96,109916.97,1679.33234122
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:58.116048+00:00,109916.96,109916.97,1679.33237725
Binance,BTC-USD,110163.08,2025-11-01 22:05:57.977000+00:00,109858.1,110162.87,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:05:58.547663+00:00,109916.96,109919.94,1679.33238879
Coinbase,BTC-USD,109919.94,2025-11-01 22:05:58.547663+00:00,109916.96,109919.94,1679.33251235
